VSTRANA;NAZEVCELK;NAZEV_STRV;ZKRATKAV30;ZKRATKAV8;POCSTR_SLO;SLOZENI;ZKRATKA_OF;TYPVS;PLNYNAZEV
1;"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";"KDU-ÈSL";1;"001";"KDU-ÈSL";"S";""
2;"Èeská strana národnì sociální";"Èeská strana národnì sociální";"Èeská strana národnì sociální";"ÈSNS";1;"002";"ÈSNS";"S";""
3;"Køesanskodemokratická strana";"Køesanskodemokratická strana";"Køesanskodemokratická strana";"KDS";1;"003";"KDS";"S";""
4;"Liberálnì demokratická strana";"Liberálnì demokratická strana";"Liberálnì demokratická strana";"LDS";1;"004";"LDS";"S";""
5;"Strana zelenıch";"Strana zelenıch";"Strana zelenıch";"Zelení";1;"005";"Zelení";"S";""
6;"Zemìdìlská strana";"Zemìdìlská strana";"Zemìdìlská strana";"ZS";1;"006";"ZS";"S";""
7;"Sociální demokracie";"Sociální demokracie";"Sociální demokracie";"SOCDEM";1;"007";"SOCDEM";"S";""
8;"Podnikatelsko ivnostenská strana";"Podnikatelsko ivnostenská strana";"Podnikatelsko ivnosten.strana";"PS";1;"008";"PS";"S";""
9;"Nezávislá iniciativa (NEI)";"Nezávislá iniciativa (NEI)";"Nezávislá iniciativa (NEI)";"NEI";1;"009";"NEI";"S";""
10;"Èeskoslovenská strana Humanistické internacionály";"Èeskoslovenská strana Humanistické internacionály";"Ès.str.Humanist.internacionály";"ÈSHI";1;"010";"ÈSHI";"S";""
11;"Sdruení pro republiku-Republikánská strana Èeskoslovenska";"Sdruení pro republiku-Republikán.strana Èeskosl.";"Sdru.pro rep.-Republ.str.Èsl.";"SPR-RSÈ";1;"011";"SPR-RSÈ";"S";""
12;"Romská obèanská iniciativa ÈR";"Romská obèanská iniciativa ÈR";"Romská obèanská iniciativa ÈR";"ROI ÈR";1;"012";"ROI ÈR";"S";""
13;"Obèanská demokratická aliance";"Obèanská demokratická aliance";"Obèanská demokratická aliance";"ODA";1;"013";"";"S";""
14;"Republikánská unie";"Republikánská unie";"Republikánská unie";"RU";1;"014";"";"S";""
15;"Hnutí za rovnoprávné postavení en v Èechách a na Moravì";"Hnutí za rovnopráv.postav.en v Èechách a na Mor.";"Hnutí za rovnopráv.postav.en";"HRP";1;"015";"HRP";"S";""
16;"Organizace nezávislıch Rumunù";"Organizace nezávislıch Rumunù";"Organizace nezávislıch Rumunù";"ONR";1;"016";"ONR";"S";""
17;"Hnutí zemìdìlcù";"Hnutí zemìdìlcù";"Hnutí zemìdìlcù";"HZ";1;"017";"HZ";"S";""
18;"Èeskoslovenská strana integrace";"Èeskoslovenská strana integrace";"Èeskosl.strana integrace";"ÈSSI";1;"018";"ÈSSI";"S";""
19;"Volební seskupení zájmovıch svazù v Èeské republice";"Volební seskupení zájmovıch svazù v ÈR";"Volební seskup.zájmovıch svazù";"VSZS";1;"019";"VSZS";"S";""
20;"Strana za ivotní jistoty";"Strana za ivotní jistoty";"Strana za ivotní jistoty";"SJ";1;"020";"";"S";""
21;"Republikánská strana zemìdìlského a malorolnického lidu";"Republikán.str.zemìdìlského a malorolnického lidu";"Rep.str.zemìd.a maloroln.lidu";"RSZML";1;"021";"RSZML";"S";""
22;"Agrární strana";"Agrární strana";"Agrární strana";"AS";1;"022";"";"S";""
23;"Hnutí za obèanskou svobodu";"Hnutí za obèanskou svobodu";"Hnutí za obèanskou svobodu";"HOS";1;"023";"HOS";"S";""
24;"Konzervativní strana";"Konzervativní strana";"Konzervativní strana";"KONS";1;"024";"KONS";"S";""
25;"Celostátní aktiv obèanù";"Celostátní aktiv obèanù";"Celostátní aktiv obèanù";"CAO";1;"025";"";"S";""
26;"Demokratická unie zdraví a sportu";"Demokratická unie zdraví a sportu";"Demokrat.unie zdraví a sportu";"DUZS";1;"026";"DUZS";"S";""
27;"Strana pøátel piva";"Strana pøátel piva";"Strana pøátel piva";"SPP";1;"027";"SPP";"S";""
28;"Demokratická strana Èeskoslovenska";"Demokratická strana Èeskoslovenska";"Demokratická strana Èeskoslov.";"DSÈ";1;"028";"";"S";""
29;"Strana svobodnıch demokratù";"Strana svobodnıch demokratù";"Strana svobodnıch demokratù";"SSD";1;"029";"SSD";"S";""
30;"Permanentní opozicí za demokracii";"Permanentní opozicí za demokracii";"Permanentní opozicí za demokr.";"POZD";1;"030";"POZD";"S";""
31;"Strana evropského domu";"Strana evropského domu";"Strana evropského domu";"SED";1;"031";"SED";"S";""
32;"Èeskomoravská unie støedu";"Èeskomoravská unie støedu";"Èeskomoravská unie støedu";"ÈMUS";1;"032";"";"S";""
33;"Obèanská spoleèenská aktivita";"Obèanská spoleèenská aktivita";"Obèanská spoleèenská aktivita";"OSA";1;"033";"OSA";"S";""
34;"Strana moravského venkova";"Strana moravského venkova";"Strana moravského venkova";"SMV";1;"034";"";"S";""
35;"Agrární republikánská strana";"Agrární republikánská strana";"Agrární republikánská strana";"ARS";1;"035";"ARS";"S";""
36;"Køesanskodemokratické hnutí";"Køesanskodemokratické hnutí";"Køesanskodemokratické hnutí";"KDH";1;"036";"KDH";"S";""
37;"Strana demokratické levice";"Strana demokratické levice";"Strana demokratické levice";"SDL";1;"037";"SDL";"S";""
38;"Strana obrany kultury";"Strana obrany kultury";"Strana obrany kultury";"SOK";1;"038";"SOK";"S";""
39;"Levá alternativa - hnutí za demokratickı a samosprávnı socialismus";"Levá alternativa-hnutí za demokrat.a samospr.soc.";"Levá alternativa";"LA";1;"039";"";"S";""
