VSTRANA;NAZEVCELK;NAZEV_STRV;ZKRATKAV30;ZKRATKAV8;POCSTR_SLO;SLOZENI;ZKRATKA_OF;TYPVS;PLNYNAZEV
40;"Klub angaovanıch nestraníkù";"Klub angaovanıch nestraníkù";"Klub angaovanıch nestraníkù";"KAN";1;"040";"KAN";"S";""
41;"Asociace Radikálù za Spojené státy evropské";"Asociace Radikálù za Spojené státy evropské";"Asociace Radik.za Sp.st.evrop.";"AR";1;"041";"";"S";""
42;"Panevropská unie Èech a Moravy";"Panevropská unie Èech a Moravy";"Panevropská unie Èech a Moravy";"PEUÈM";1;"042";"";"S";""
43;"Pravá alternativa";"Pravá alternativa";"Pravá alternativa";"PA";1;"043";"";"S";""
44;"Národnì sociální strana - Èeskoslovenská strana národnì socialistická";"Národnì sociální str.-Èeskosl.strana nár.social.";"Národ.soc.str.-Ès.str.nár.soc.";"NSS-ÈSNS";1;"044";"";"S";""
45;"Strana drobnıch podnikatelù";"Strana drobnıch podnikatelù";"Strana drobnıch podnikatelù";"SDP";1;"045";"";"S";""
46;"Moravská národní strana";"Moravská národní strana";"Moravská národní strana";"MNS";1;"046";"";"S";""
47;"Komunistická strana Èech a Moravy";"Komunistická strana Èech a Moravy";"Komunistická str.Èech a Moravy";"KSÈM";1;"047";"KSÈM";"S";""
48;"Hnutí 90";"Hnutí 90";"Hnutí 90";"H 90";1;"048";"";"S";""
49;"Hnutí angaovanıch Romù";"Hnutí angaovanıch Romù";"Hnutí angaovanıch Romù";"HAR";1;"049";"";"S";""
50;"Politická strana en a matek Èeskoslovenska";"Politická strana en a matek Èeskoslovenska";"Politická str.en a matek Èsl.";"PSM";1;"050";"PSM";"S";""
51;"Národnì demokratická strana";"Národnì demokratická strana";"Národnì demokratická strana";"NDS";1;"051";"NDS";"S";""
52;"Svobodní demokraté";"Svobodní demokraté";"Svobodní demokraté";"SD";1;"052";"SD";"S";""
53;"Obèanská demokratická strana";"Obèanská demokratická strana";"Obèanská demokratická strana";"ODS";1;"053";"ODS";"S";""
54;"Asociace sociálních demokratù";"Asociace sociálních demokratù";"Asociace sociálních demokratù";"ASD";1;"054";"ASD";"S";""
55;"Koruna Èeská (monarchistická strana Èech, Moravy a Slezska)";"Koruna Èeská (monarch.str.Èech, Moravy a Slezska)";"Koruna Èeská (monarch.strana)";"Koruna Èeská";1;"055";"Koruna Èeská";"S";""
56;"Liberálnì sociální unie";"Liberálnì sociální unie";"Liberálnì sociální unie";"LSU";1;"056";"LSU";"S";""
57;"Moravskoslezské hnutí";"Moravskoslezské hnutí";"Moravskoslezské hnutí";"MSH";1;"057";"MSH";"S";""
58;"Èeská národní strana";"Èeská národní strana";"Èeská národní strana";"ÈNS";1;"058";"";"S";""
59;"Strana zdravotnì postienıch, dùchodcù a sociálnì slabıch obèanù";"Str.zdrav.posti.,dùchodcù a sociálnì slab.obèanù";"Str.zdrav.posti.,dùch.,slab.";"SZP-DO";1;"059";"";"S";""
60;"Hnutí za sociální spravedlnost";"Hnutí za sociální spravedlnost";"Hnutí za sociální spravedlnost";"HSS";1;"060";"";"S";""
61;"Unie mìst a venkova";"Unie mìst a venkova";"Unie mìst a venkova";"UMV";1;"061";"UMV";"S";""
62;"Unie samosprávné demokracie";"Unie samosprávné demokracie";"Unie samosprávné demokracie";"USD";1;"062";"USD";"S";""
63;"Republikáni";"Republikáni";"Republikáni";"REP";1;"063";"";"S";""
64;"Strana podnikatelù, ivnostníkù a rolníkù Èeské republiky";"Strana podnikatelù, ivnostníkù a rolníkù ÈR";"Str.podnikat.,ivnost.,rolníkù";"SPR";1;"064";"";"S";""
65;"Demokraté 92";"Demokraté 92";"Demokraté 92";"D 92";1;"065";"";"S";""
66;"Strana demokracie a svobody";"Strana demokracie a svobody";"Strana demokracie a svobody";"SDS";1;"066";"SDS";"S";""
67;"Romskı národní kongres";"Romskı národní kongres";"Romskı národní kongres";"RNK";1;"067";"";"S";""
68;"Masarykova demokratická strana";"Masarykova demokratická strana";"Masarykova demokratická strana";"MDS";1;"068";"MDS";"S";""
69;"Køesanskosociální unie";"Køesanskosociální unie";"Køesanskosociální unie";"KSU";1;"069";"KSU";"S";""
70;"Strana obèanù romské národnosti Severoèeského kraje";"Strana obèanù romské národnosti Severoèes.kraje";"Str.obè.romské národn.Svè.kraj";"SORN";1;"070";"SORN";"S";""
71;"Èeskomoravská strana lidová";"Èeskomoravská strana lidová";"Èeskomoravská strana lidová";"ÈMSL";1;"071";"ÈMSL";"S";""
72;"COEXISTENTIA";"COEXISTENTIA";"COEXISTENTIA";"COEX";1;"072";"COEX";"S";""
73;"Republikánská strana";"Republikánská strana";"Republikánská strana";"RS";1;"073";"RS";"S";""
74;"Levice";"Levice";"Levice";"Levice";1;"074";"Levice";"S";""
75;"Hnutí èeskoslovenského porozumìní";"Hnutí èeskoslovenského porozumìní";"Hnutí èeskosloven.porozumìní";"HÈSP";1;"075";"HÈSP";"S";""
76;"Èeskoslovenská strana socialistická";"Èeskoslovenská strana socialistická";"Èeskosl.strana socialistická";"ÈSS";1;"076";"ÈSS";"S";""
77;"Èeská pravice";"Èeská pravice";"Èeská pravice";"ÈP";1;"077";"ÈP";"S";""
78;"Vıchodoevropské národnostní politické hnutí v ÈR";"Vıchodoevropské národnostní politické hnutí v ÈR";"Vıchodoevr.národnost.pol.hnutí";"VENPH";1;"078";"";"S";""
79;"Národní demokracie";"Národní demokracie";"Národní demokracie";"ND";1;"079";"ND";"S";""
80;"Nezávislı kandidát";"Nezávislı kandidát";"Nezávislı kandidát";"NK";1;"080";"nezávislı kandidát";"N";""
81;"Demokratická unie";"Demokratická unie";"Demokratická unie";"DEU";1;"081";"";"S";""
82;"Moravská demokratická strana";"Moravská demokratická strana";"Moravská demokratická strana";"MoDS";1;"082";"";"S";""
83;"Moravané";"Moravané";"Moravané";"Moravané";1;"083";"Moravané";"S";""
84;"Hnutí za samosprávnou demokracii - Spoleènost pro Moravu a Slezsko";"Hnutí za samospr.dem.-Spoleèn.pro Moravu a Slezsko";"Hn.za samospr.dem.-Sp.Mor.a Sl";"HSD-SMS";1;"084";"";"S";""
85;"Praané Praze";"Praané Praze";"Praané Praze";"PP";1;"085";"";"S";""
86;"Iniciativa obèanù";"Iniciativa obèanù";"Iniciativa obèanù";"IO";1;"086";"IO";"S";""
87;"Køesanská a demokratická strana Rómù";"Køesanská a demokratická strana Rómù";"Køesan.a demokrat.str.Rómù";"KDSR";1;"087";"KDSR";"S";""
88;"NEZÁVISLÍ";"NEZÁVISLÍ";"NEZÁVISLÍ";"NEZ";1;"088";"NEZ";"S";""
89;"Obèanské fórum";"Obèanské fórum";"Obèanské fórum";"OF";1;"089";"OF";"S";""
90;"Sdruení nezávislıch kandidátù - místní sdruení celkem";"Sdru.nezávislıch kandidátù-místní sdruení celkem";"Sdru.nezáv.kand.-míst.celkem";"SNK-CELK";1;"080";"SNK-CELK";"M";""
91;"Sdruení nezávislıch kandidátù mìsta Èeské Budìjovice";"Sdruení nezávislıch kandidátù mìsta È.Budìjovice";"Sdru.nezáv.kand.mìsta È.Budìj";"SNK ÈB";1;"091";"";"S";""
92;"ivnostenská strana";"ivnostenská strana";"ivnostenská strana";"S";1;"092";"";"S";""
93;"Komunistická strana Èeskoslovenska";"Komunistická strana Èeskoslovenska";"Komunistická str.Èeskosloven.";"KSÈ";1;"093";"KSÈ";"S";""
94;"Èeská volba";"Èeská volba";"Èeská volba";"ÈV";1;"094";"";"S";""
95;"Mladí demokraté";"Mladí demokraté";"Mladí demokraté";"MD";1;"095";"";"S";""
96;"Hnutí proti kriminalitì";"Hnutí proti kriminalitì";"Hnutí proti kriminalitì";"HPK";1;"096";"";"S";""
97;"Strana Pøírodního Zákona";"Strana Pøírodního Zákona";"Strana Pøírodního Zákona";"Pøírodní";1;"097";"Pøírodní";"S";""
98;"Volte Pravı Blok-stranu za ODVOLAT.polit.,NÍZKÉ danì,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PØÍMOU demokr. WWW.CIBULKA.NET";"Volte Pravı Blok www.cibulka.net";"Volte Pr.Blok www.cibulka.net";"PB";1;"098";"Volte Pravı Blok www.cibulka.net";"S";""
99;"Bez politické pøíslušnosti";"Bez politické pøíslušnosti";"Bez politické pøíslušnosti";"BEZPP";1;"099";"bez politické pøíslušnosti";"S";""
100;"Humanistická strana";"Humanistická strana";"Humanistická strana";"HS";1;"100";"HS";"S";""
101;"Strana venkova - spojené obèanské síly";"Strana venkova - spojené obèanské síly";"Str.venkova-spoj.obèan.síly";"SV SOS";1;"101";"SV SOS";"S";""
102;"Unie svobody - Demokratická unie";"Unie svobody - Demokratická unie";"Unie svobody-Demokratická unie";"US-DEU";1;"102";"US-DEU";"S";""
103;"Strana pro otevøenou spoleènost";"Strana pro otevøenou spoleènost";"Str.pro otevøenou spoleènost";"SOS";1;"103";"SOS";"S";""
104;"Obèanská koalice - Politickı klub";"Obèanská koalice - Politickı klub";"Obèanská koalice-Polit.klub";"OK";1;"104";"";"S";""
105;"Strana konzervativní smlouvy";"Strana konzervativní smlouvy";"Strana konzervativní smlouvy";"SKS";1;"105";"";"S";""
106;"Alternativa 2000";"Alternativa 2000";"Alternativa 2000";"A2000";1;"106";"";"S";""
107;"Demokratická liga";"Demokratická liga";"Demokratická liga";"DL";1;"107";"";"S";""
108;"Hnutí za prosperitu Brna";"Hnutí za prosperitu Brna";"Hnutí za prosperitu Brna";"HPB";1;"108";"";"S";""
109;"Zlínské hnutí nezávislıch";"Zlínské hnutí nezávislıch";"Zlínské hnutí nezávislıch";"ZHN";1;"109";"ZHN";"S";""
110;"Demokratická regionální strana";"Demokratická regionální strana";"Demokratická regionální strana";"DRS";1;"110";"DRS";"S";""
111;"Pravá volba pro Plzeò";"Pravá volba pro Plzeò";"Pravá volba pro Plzeò";"PVP";1;"111";"PVP";"S";""
112;"MÍSTNÍ HNUTÍ NEZÁVISLİCH ZA HARMONICKİ ROZVOJ OBCÍ A MÌST";"MÍSTNÍ HNUTÍ NEZ. ZA HARMONICKİ ROZVOJ OBCÍ A MÌST";"MÍSTNÍ HNUTÍ ZA HARM. ROZVOJ";"MÍSTNÍ HNHRM";1;"112";"MÍSTNÍ HNHRM";"S";""
113;"Volba pro mìsto";"Volba pro mìsto";"Volba pro mìsto";"VPM";1;"113";"VPM";"S";""
114;"Hnutí pro Havíøov";"Hnutí pro Havíøov";"Hnutí pro Havíøov";"HPH";1;"114";"HPH";"S";""
115;"Nezávislé sdruení obèanù Blanska";"Nezávislé sdruení obèanù Blanska";"Nezáv.sdru.obèanù Blanska";"NSOB";1;"115";"NSOB";"S";""
116;"Obèanská liga FORUM";"Obèanská liga FORUM";"Obèanská liga FORUM";"OLF";1;"116";"";"S";""
117;"""1.Sdruení nezávislıch kandidátù Tábor""";"""1.Sdruení nezávislıch kandidátù Tábor""";"""1.Sdr.nezáv.kandidátù Tábor""";"1.SNK";1;"117";"";"S";""
118;"Sdruení pro sport a zdraví";"Sdruení pro sport a zdraví";"Sdruení pro sport a zdraví";"SSZ";1;"118";"";"S";""
119;"Unie pro sport a zdraví";"Unie pro sport a zdraví";"Unie pro sport a zdraví";"USZ";1;"119";"USZ";"S";""
120;"Aliance nezávislıch obèanù";"Aliance nezávislıch obèanù";"Aliance nezávislıch obèanù";"ANO";1;"120";"";"S";""
121;"LEPŠÍ IVOT PRO LIDI – zrušení danì z nemov., min.mzda 50.000 Kè, min.dùchod 30.000 Kè, návrat cen energií na ceny 2019";"LEPŠÍ IVOT PRO LIDI";"LEPŠÍ IVOT PRO LIDI";"LPL";1;"121";"LPL";"S";""
122;"Èeskobudìjovická nezávislá nová volba";"Èeskobudìjovická nezávislá nová volba";"Èeskobudìjov.nezáv.nová volba";"ÈbNNV";1;"122";"";"S";""
123;"KONZERVATIVNÍ ALTERNATIVA";"KONZERVATIVNÍ ALTERNATIVA";"KONZERVATIVNÍ ALTERNATIVA";"KOAL";1;"123";"KOAL";"S";""
124;"Nové hnutí";"Nové hnutí";"Nové hnutí";"NH";1;"124";"";"S";""
125;"Unie pro Evropu";"Unie pro Evropu";"Unie pro Evropu";"UPE";1;"125";"";"S";""
126;"Nestraníci pro Moravu";"Nestraníci pro Moravu";"Nestraníci pro Moravu";"NPM";1;"126";"";"S";""
127;"Republikáni Miroslava Sládka";"Republikáni Miroslava Sládka";"Republikáni Miroslava Sládka";"RMS";1;"127";"";"S";""
128;"""Akce za skuteènou demokracii""";"""Akce za skuteènou demokracii""";"""Akce za skuteènou demokracii""";"AZSD";1;"128";"";"S";""
129;"SNK Evropští demokraté";"SNK Evropští demokraté";"SNK Evropští demokraté";"SNK ED";1;"129";"SNK ED";"S";""
130;"Strana svobodnıch severu";"Strana svobodnıch severu";"Strana svobodnıch severu";"SSS";1;"130";"";"S";""
131;"Strana obèanského porozumìní";"Strana obèanského porozumìní";"Strana obèanského porozumìní";"SOP";1;"131";"";"S";""
132;"Aktiv nezávislıch obèanù";"Aktiv nezávislıch obèanù";"Aktiv nezávislıch obèanù";"ANEO";1;"132";"ANEO";"S";""
133;"Cesta zmìny";"Cesta zmìny";"Cesta zmìny";"CZ";1;"133";"";"S";""
134;"""Sebeobrana volièù-Váš hlas nepodpoøí financování planıch øeèí, ale zdravotnictví Vašeho obvodu""";"""Sebeobrana volièù-Váš hlas pro zdravotnictví""";"""Sebeobrana volièù-Váš hlas""";"SeVo";1;"134";"";"S";""
135;"Nadìje";"Nadìje";"Nadìje";"N";1;"135";"";"S";""
136;"Tábor 2020";"Tábor 2020";"Tábor 2020";"T2020";1;"136";"T2020";"S";""
137;"ROZUMNÍ";"ROZUMNÍ";"ROZUMNÍ";"Rozumní";1;"137";"Rozumní";"S";""
138;"Liberálové.CZ";"Liberálové.CZ";"Liberálové.CZ";"LIB";1;"138";"LIB";"S";""
139;"Volba pro budoucnost";"Volba pro budoucnost";"Volba pro budoucnost";"VPB";1;"139";"";"S";""
140;"Balbínova poetická strana";"Balbínova poetická strana";"Balbínova poetická strana";"BPS";1;"140";"BPS";"S";""
141;"Konzervativní a sociální hnutí";"Konzervativní a sociální hnutí";"Konzervativní a sociální hnutí";"KSH";1;"141";"KSH";"S";""
142;"Koalice PRO kraj";"Koalice PRO kraj";"Koalice PRO kraj";"Koal. PRO kraj";1;"142";"Koalice PRO kraj";"S";""
143;"Spojení demokraté - Sdruení nezávislıch";"Spojení demokraté - Sdruení nezávislıch";"Spojení demokraté-Sdru.nezáv.";"SD-SN";1;"143";"SD-SN";"S";""
144;"Vìci veøejné";"Vìci veøejné";"Vìci veøejné";"VV";1;"144";"VV";"S";""
145;"„Jirkov 21. století“";"„Jirkov 21. století“";"„Jirkov 21. století“";"J 21 S";1;"145";"J 21 S";"S";""
146;"Nezávislí pro Prahu";"Nezávislí pro Prahu";"Nezávislí pro Prahu";"NPP";1;"146";"NPP";"S";""
147;"MÌSTO LIDEM";"MÌSTO LIDEM";"MÌSTO LIDEM";"ML";1;"147";"ML";"S";""
148;"„SONOB - sdruení ochrany nájemníkù a ostatního bydlení“";"„SONOB-sdruení ochrany nájemníkù a ostat.bydlení“";"„SONOB-sdru.ochr.nájemníkù“";"SONOB";1;"148";"SONOB";"S";""
149;"Sociálnì demokratická aliance nezávislıch";"Sociálnì demokratická aliance nezávislıch";"Sociálnì demokrat.aliance nez.";"SDAN";1;"149";"";"S";""
150;"Sdruení za lepší Vrchlabí";"Sdruení za lepší Vrchlabí";"Sdruení za lepší Vrchlabí";"SZLV";1;"150";"";"S";""
151;"Helax - Ostrava se baví";"Helax - Ostrava se baví";"Helax - Ostrava se baví";"HOB";1;"151";"";"S";""
152;"Národní strana";"Národní strana";"Národní strana";"NS";1;"152";"NS";"S";""
153;"Dìlnická strana";"Dìlnická strana";"Dìlnická strana";"DS";1;"153";"DS";"S";""
154;"Všeobecná obèanská strana";"Všeobecná obèanská strana";"Všeobecná obèanská strana";"VOS";1;"154";"VOS";"S";""
155;"Blok proti islamizaci – Obrana domova";"Blok proti islamizaci – Obrana domova";"Blok proti islam.-Obran.domova";"BPI";1;"155";"BPI";"S";""
156;"Dìlnická strana sociální spravedlnosti";"Dìlnická strana sociální spravedlnosti";"Dìlnic.str.sociální spravedl.";"DSSS";1;"156";"DSSS";"S";""
157;"Demokratická Unie Èeské republiky";"Demokratická Unie Èeské republiky";"Demokratická Unie Èeské rep.";"DEUÈR";1;"157";"";"S";""
158;"Starostové a osobnosti pro Moravu";"Starostové a osobnosti pro Moravu";"Starostové a osobn. pro Moravu";"SOM";1;"158";"SOM";"S";""
159;"Strana státu pøímé demokracie - Strana práce";"Strana státu pøímé demokracie - Strana práce";"Str.státu pøímé dem.-Str.práce";"SSPD-SP";1;"159";"SSPD-SP";"S";""
160;"""Viktor Koenı - Obèanská federální demokracie""";"""Viktor Koenı - Obèanská federální demokracie""";"""V.Koenı-Obèan.feder.demokr.""";"""OFD""";1;"160";"""OFD""";"S";""
161;"Svobodná obèanská samospráva";"Svobodná obèanská samospráva";"Svobodná obèanská samospráva";"SvOS";1;"161";"SvOS";"S";""
162;"Správnı smìr";"Správnı smìr";"Správnı smìr";"SPS";1;"162";"";"S";""
163;"NEZÁVISLÁ VOLBA";"NEZÁVISLÁ VOLBA";"NEZÁVISLÁ VOLBA";"NV";1;"163";"NV";"S";""
164;"Evropská strana dùstojného stáøí";"Evropská strana dùstojného stáøí";"Evropská str.dùstojného stáøí";"ESDS";1;"164";"ESDS";"S";""
165;"Strana drobnıch ivnostníkù a podnikatelù";"Strana drobnıch ivnostníkù a podnikatelù";"Str.drobn.ivnost.a podnikat.";"SDP";1;"165";"";"S";""
166;"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAROSTOVÉ A NEZÁVISLÍ";"STAN";1;"166";"STAN";"S";""
167;"Fair play - HNPD";"Fair play - HNPD";"Fair play - HNPD";"HNPD";1;"167";"HNPD";"S";""
168;"Obèanské demokratické hnutí";"Obèanské demokratické hnutí";"Obèanské demokratické hnutí";"ODH";1;"168";"";"S";""
169;"Folklor i Spoleènost";"Folklor i Spoleènost";"Folklor i Spoleènost";"FiS";1;"169";"FiS";"S";""
170;"Romská demokratická sociální strana";"Romská demokratická sociální strana";"Romská demokrat.sociální str.";"RDSS";1;"170";"";"S";""
171;"STRANA ROVNOST ŠANCÍ";"STRANA ROVNOST ŠANCÍ";"STRANA ROVNOST ŠANCÍ";"SRŠ";1;"171";"";"S";""
172;"NEZÁVISLÍ DEMOKRATÉ";"NEZÁVISLÍ DEMOKRATÉ";"NEZÁVISLÍ DEMOKRATÉ";"NEZ/DEM";1;"172";"NEZ/DEM";"S";""
173;"Chci svou šanci";"Chci svou šanci";"Chci svou šanci";"CISN";1;"173";"";"S";""
174;"Hnutí pro Tìšín";"Hnutí pro Tìšín";"Hnutí pro Tìšín";"HpT";1;"174";"HpT";"S";""
175;"Èeská strana národnì socialistická";"Èeská strana národnì socialistická";"Èeská str.národ.socialistická";"ÈSNS 2005";1;"175";"ÈSNS 2005";"S";""
176;"Strana obèanské sebeobrany";"Strana obèanské sebeobrany";"Strana obèanské sebeobrany";"S.O.S. PRAHA";1;"176";"S.O.S. PRAHA";"S";""
177;"Zelení";"Zelení";"Zelení";"""Z""";1;"177";"""Z""";"S";""
178;"4 VIZE - www.4vize.cz";"4 VIZE - www.4vize.cz";"4 vize - www.4vize.cz";"4 VIZE";1;"178";"4 VIZE";"S";""
179;"Sedma - strana pro Slatiòany, Škrovád, Trpišov, Kunèí, Presy, Podhùru a Kochánovice";"Sedma-strana pro obec Slatiòany a její osady";"Sedma-str.pro obec Slatiòany";"Sedma";1;"179";"Sedma";"S";""
180;"Klub sociálnì demokratické orientace";"Klub sociálnì demokratické orientace";"Klub sociál.demokrat.orientace";"KSDO";1;"180";"";"S";""
181;"Nestraníci";"Nestraníci";"Nestraníci";"Nestran.";1;"181";"NK";"S";""
182;"Karlovarská obèanská alternativa";"Karlovarská obèanská alternativa";"Karlovar.obèanská alternativa";"KOA";1;"182";"KOA";"S";""
183;"Alternativa pro obèany";"Alternativa pro obèany";"Alternativa pro obèany";"AO";1;"183";"AO";"S";""
184;"Hnutí LEPŠÍ ØEPY";"Hnutí LEPŠÍ ØEPY";"Hnutí LEPŠÍ ØEPY";"HLØ";1;"184";"HLØ";"S";""
185;"Patrioti - hnutí za lepší Ústí n.L.";"Patrioti - Hnutí za lepší Ústí n.L.";"Patrioti-Hn.za lepší Ústí n.L.";"P-HLÚ";1;"185";"";"S";""
186;"Hnutí za lepší bydlení";"Hnutí za lepší bydlení";"Hnutí za lepší bydlení";"HZLB";1;"186";"";"S";""
187;"Obèansko demokratické sdruení Zlín";"Obèansko demokratické sdruení Zlín";"Obèansko demokr.sdruení Zlín";"ODSZ";1;"187";"";"S";""
188;"SEMILÁCI";"SEMILÁCI";"SEMILÁCI";"PSS";1;"188";"PSS";"S";""
189;"Zlínské sdruení ivnostníkù a podnikatelù";"Zlínské sdruení ivnostníkù a podnikatelù";"Zlín.sdru.ivnost.a podnikat.";"ZSP";1;"189";"";"S";""
190;"Mimoòská obroda";"Mimoòská obroda";"Mimoòská obroda";"OHMO";1;"190";"OHMO";"S";""
191;"MÌSTO I MLÁDEI";"MÌSTO I MLÁDEI";"MÌSTO I MLÁDEI";"MIM";1;"191";"";"S";""
192;"HLAVU VZHÙRU - volební blok";"HLAVU VZHÙRU - volební blok";"HLAVU VZHÙRU - volební blok";"HLAVU VZHÙRU";1;"192";"HLAVU VZHÙRU";"S";""
193;"Volba pro Mladou Boleslav";"Volba pro Mladou Boleslav";"Volba pro Mladou Boleslav";"VpMB";1;"193";"VpMB";"S";""
194;"ZVON";"ZVON";"ZVON";"PHZ";1;"194";"PHZ";"S";""
195;"Hnutí pro Prahu 11";"Hnutí pro Prahu 11";"Hnutí pro Prahu 11";"HPP 11";1;"195";"HPP 11";"S";""
196;"Strana Svobody";"Strana Svobody";"Strana Svobody";"Str.Svob";1;"196";"";"S";""
197;"NESPOKOJENÍ OBÈANÉ!";"NESPOKOJENÍ OBÈANÉ!";"NESPOKOJENÍ OBÈANÉ!";"NO!";1;"197";"NO!";"S";""
