NSTRANA,NAZEV_STRN,ZKRATKAN30,ZKRATKAN8
1293,"Nadační občansko-politické hnutí ReMeK","Nadační obč.-pol. hnutí ReMeK","ReMeK"
1294,"Nestraníci pro jižní Moravu-www.nestranici2024.cz","Nestraníci pro jižní Moravu","Nestranici2024"
1295,"Česká  zemědělská strana","Česká zemědělská strana","ČZS"
1296,"Národně sociální strana","Národně sociální strana","NSS"
1297,"GEN","GEN","GEN"
1298,"Stačilo!","Stačilo!","Stačilo!"
1299,"Chomutovská koalice","Chomutovská koalice","Koala"
1700,"Liga nespokojených","Liga nespokojených","Liga"
1701,"Politické hnutí NEZLOMNÍ","Politické hnutí NEZLOMNÍ","NEZLOMNÍ"
1702,"NE 2025","NE 2025","NE"
1703,"Strana příznivců demokracie a Tomia Okamury","Strana příz. dem. a T.Okamury","SPDTO"
1704,"VÝZVA 2025","VÝZVA 2025","VÝZVA"
1705,"Voluntia, protože dobrovol. je zákl. kamenem spol.","Voluntia","Voluntia"
1706,"""Rebelové web: re3elove.cz""","""Rebelové web: re3elove.cz""","Rebelové"
1707,"Hnutí Kruh","Hnutí Kruh","Kruh"
9995,"Koalice","Koalice","Koalice"
9999,"Neregistrováno u MV","Neregistrováno u MV","Neregistr. u MV"
